"participant","minutes","n_previous_marathons","age","gender","hills","weather"
341,301,6,27,"Male",15,"Sunny"
234,302,3,36,"Female",4,"Cloudy"
289,295,3,41,"Male",11,"Sunny"
322,310,5,38,"Male",8,"Cloudy"
259,354,7,33,"Male",13,"Light Rain"
246,281,8,44,"Other",14,"Light Rain"
561,399,3,44,"Female",3,"Cloudy"
257,392,4,34,"Male",9,"Cloudy"
471,362,4,18,"Female",16,"Light Rain"
168,312,5,52,"Female",10,"Sunny"
70,334,6,30,"Male",13,"Cloudy"
460,373,4,33,"Male",7,"Sunny"
321,239,10,21,"Male",4,"Cloudy"
163,292,8,40,"Other",6,"Cloudy"
186,328,7,43,"Female",9,"Cloudy"
494,200,8,38,"Female",6,"Cloudy"
265,272,7,23,"Female",8,"Light Rain"
593,221,12,24,"Female",7,"Cloudy"
149,283,5,14,"Male",9,"Light Rain"
46,369,4,17,"Female",10,"Sunny"
203,384,8,45,"Female",7,"Sunny"
99,240,7,22,"Female",11,"Sunny"
346,315,6,44,"Female",8,"Cloudy"
478,415,0,32,"Female",8,"Cloudy"
41,388,4,41,"Female",11,"Sunny"
138,319,9,46,"Male",6,"Sunny"
27,349,7,34,"Female",8,"Sunny"
519,382,3,26,"Female",10,"Cloudy"
533,381,6,43,"Male",4,"Cloudy"
210,352,4,34,"Female",5,"Cloudy"
544,312,5,36,"Male",15,"Sunny"
374,390,7,29,"Female",13,"Cloudy"
455,401,5,33,"Female",6,"Cloudy"
139,293,13,13,"Female",12,"Cloudy"
506,328,5,36,"Female",15,"Light Rain"
4,250,10,24,"Male",11,"Cloudy"
192,347,6,49,"Female",9,"Sunny"
80,398,4,17,"Female",11,"Light Rain"
537,395,6,17,"Female",11,"Cloudy"
15,403,4,31,"Female",12,"Sunny"
291,215,5,7,"Female",7,"Sunny"
38,413,5,33,"Female",13,"Heavy Rain"
332,300,5,16,"Female",12,"Sunny"
582,203,9,25,"Female",7,"Cloudy"
258,332,6,30,"Male",5,"Cloudy"
107,213,11,32,"Female",11,"Sunny"
238,289,10,39,"Male",13,"Sunny"
592,423,3,41,"Female",2,"Light Rain"
399,422,4,39,"Female",15,"Sunny"
75,331,7,40,"Other",15,"Cloudy"
504,325,3,47,"Male",11,"Sunny"
73,271,8,30,"Female",19,"Sunny"
228,319,7,36,"Female",7,"Cloudy"
398,428,4,34,"Female",11,"Cloudy"
61,299,8,33,"Female",9,"Cloudy"
435,334,5,34,"Female",5,"Sunny"
13,220,8,18,"Male",12,"Sunny"
230,207,11,29,"Male",5,"Sunny"
102,276,6,23,"Female",12,"Light Rain"
530,317,6,21,"Female",11,"Light Rain"
517,364,7,33,"Female",12,"Sunny"
43,410,6,52,"Female",6,"Cloudy"
304,243,9,20,"Male",15,"Cloudy"
482,295,9,44,"Male",11,"Sunny"
152,368,7,45,"Male",9,"Sunny"
522,349,6,42,"Female",12,"Sunny"
298,277,4,16,"Female",14,"Sunny"
335,337,6,21,"Male",12,"Sunny"
279,293,3,20,"Male",8,"Cloudy"
594,436,4,53,"Female",10,"Sunny"
516,458,4,43,"Male",7,"Sunny"
425,260,10,35,"Male",8,"Cloudy"
448,365,4,30,"Male",7,"Cloudy"
