"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",5,"Large",1,956,751
"HP",4,"Medium",4,635,318
"HP",5,"Medium",0,461,658
"HP",1,"Large",3,602,398
"HP",1,"Large",2,601,575
"HP",0,"Small",2,976,473
"HP",3,"Large",1,1165,752
"MSI",2,"Large",0,1130,912
"HP",3,"Small",2,1350,559
"HP",1,"Medium",5,947,299
"HP",2,"Large",4,779,397
"HP",3,"Medium",1,942,717
"HP",2,"Large",5,756,288
"HP",1,"Large",1,1152,827
"MSI",2,"Large",2,1161,746
"MSI",1,"Medium",4,1015,472
"HP",4,"Medium",4,1356,509
"MSI",1,"Large",1,993,882
"HP",2,"Medium",0,1355,875
"HP",1,"Small",3,1032,358
"HP",2,"Large",1,1084,834
"MSI",3,"Medium",6,883,178
"MSI",1,"Medium",2,864,598
"MSI",0,"Medium",1,987,763
"MSI",2,"Medium",2,1094,640
"HP",2,"Large",0,1234,939
"Apple",4,"Small",2,1157,642
"MSI",6,"Large",4,1678,678
"MSI",2,"Medium",2,1015,726
"MSI",2,"Medium",1,1194,855
"MSI",1,"Medium",2,939,558
"Apple",2,"Large",2,937,730
"HP",0,"Small",4,1056,318
"MSI",1,"Medium",2,1046,707
"HP",0,"Medium",2,1285,681
"MSI",2,"Large",2,1000,658
"HP",1,"Large",1,890,746
"HP",0,"Medium",1,701,627
"HP",2,"Small",0,1380,819
"HP",5,"Large",1,796,737
"MSI",0,"Medium",2,1170,610
"HP",4,"Large",3,1097,512
"HP",1,"Small",0,839,626
"HP",3,"Medium",0,796,772
"HP",3,"Small",1,890,508
"HP",5,"Large",2,999,689
"MSI",3,"Large",1,1260,912
"MSI",2,"Small",0,986,739
"MSI",4,"Medium",0,1331,996
"MSI",2,"Medium",2,1050,676
"HP",3,"Large",1,938,756
"MSI",1,"Medium",3,967,544
"HP",2,"Medium",2,1059,656
"MSI",3,"Medium",3,1060,581
"MSI",1,"Small",3,1143,503
"HP",2,"Medium",1,716,598
"Apple",3,"Medium",0,1316,968
"HP",2,"Medium",2,566,452
"MSI",0,"Small",1,974,661
"HP",2,"Medium",0,1413,872
"HP",2,"Large",2,854,591
"MSI",2,"Medium",3,670,451
"MSI",1,"Large",2,683,640
"HP",3,"Large",2,958,629
"HP",2,"Large",2,978,643
"HP",4,"Medium",1,1131,758
"HP",3,"Medium",1,1086,731
"HP",3,"Large",2,1124,678
"HP",2,"Large",0,802,786
"HP",1,"Large",1,1127,829
"Apple",3,"Large",3,713,608
"HP",4,"Large",1,1118,792
"Apple",2,"Medium",3,1288,646
"MSI",2,"Large",2,644,579
